iter	Passed	Remaining
412	2525	3589
413	2536	3590
414	2542	3583
415	2550	3580
416	2555	3572
417	2559	3563
418	2566	3558
419	2570	3549
420	2574	3540
421	2579	3533
422	2583	3524
423	2587	3514
424	2592	3506
425	2598	3500
426	2602	3492
427	2606	3484
428	2611	3475
429	2615	3466
430	2619	3457
431	2623	3449
432	2628	3442
433	2633	3434
434	2637	3425
435	2641	3416
436	2646	3409
437	2650	3400
438	2654	3392
439	2659	3384
440	2664	3377
441	2669	3370
442	2673	3361
443	2678	3354
444	2682	3345
445	2687	3338
446	2690	3329
447	2695	3321
448	2699	3312
449	2703	3304
450	2706	3295
451	2711	3287
452	2715	3279
453	2719	3270
454	2723	3262
455	2731	3258
456	2735	3250
457	2740	3242
458	2744	3235
459	2750	3228
460	2756	3222
461	2762	3216
462	2765	3207
463	2769	3199
464	2775	3192
465	2778	3184
466	2782	3175
467	2786	3167
468	2791	3160
469	2796	3153
470	2800	3145
471	2805	3138
472	2810	3131
473	2814	3123
474	2817	3114
475	2821	3106
476	2828	3100
477	2831	3092
478	2835	3084
479	2839	3075
480	2843	3068
481	2847	3060
482	2851	3051
483	2855	3043
484	2860	3037
485	2865	3030
486	2870	3023
487	2875	3017
488	2879	3008
489	2882	3000
490	2886	2992
491	2891	2985
492	2895	2977
493	2898	2969
494	2902	2961
495	2906	2953
496	2910	2945
497	2915	2939
498	2921	2932
499	2926	2926
500	2931	2919
501	2935	2912
502	2941	2906
503	2946	2899
504	2950	2891
505	2955	2884
506	2958	2877
507	2962	2869
508	2965	2861
509	2970	2854
510	2974	2846
511	2978	2838
512	2981	2830
513	2985	2823
514	2990	2816
515	2994	2809
516	2999	2802
517	3004	2796
518	3008	2788
519	3012	2781
520	3017	2774
521	3025	2770
522	3033	2766
523	3043	2764
524	3051	2760
525	3057	2755
526	3064	2750
527	3071	2745
528	3076	2739
529	3081	2732
530	3088	2728
531	3093	2721
532	3098	2715
533	3105	2709
534	3111	2704
535	3118	2699
536	3124	2693
537	3129	2687
538	3135	2682
539	3141	2676
540	3146	2669
541	3152	2663
542	3156	2656
543	3161	2650
544	3168	2644
545	3173	2638
546	3177	2631
547	3183	2625
548	3188	2619
549	3193	2613
550	3200	2607
551	3205	2601
552	3210	2595
553	3216	2589
554	3222	2583
555	3227	2577
556	3233	2572
557	3238	2565
558	3243	2558
559	3249	2553
560	3254	2546
561	3259	2540
562	3266	2535
563	3271	2529
564	3276	2522
565	3282	2517
566	3287	2510
567	3292	2504
568	3298	2498
569	3303	2491
570	3308	2485
571	3314	2479
572	3319	2473
573	3325	2468
574	3331	2462
575	3337	2456
576	3342	2450
577	3348	2444
578	3353	2438
579	3357	2431
580	3363	2425
581	3368	2419
582	3372	2412
583	3377	2405
584	3382	2399
585	3387	2393
586	3392	2387
587	3400	2382
588	3406	2376
589	3411	2370
590	3417	2364
591	3421	2358
592	3427	2352
593	3432	2345
594	3436	2339
595	3440	2332
596	3446	2326
597	3451	2319
598	3455	2313
599	3462	2308
600	3467	2301
601	3472	2295
602	3478	2289
603	3483	2284
604	3488	2277
605	3495	2272
606	3499	2265
607	3504	2259
608	3510	2253
609	3515	2247
610	3520	2241
611	3527	2236
612	3535	2232
613	3543	2227
614	3548	2221
615	3552	2214
616	3557	2208
617	3562	2202
618	3567	2195
619	3572	2189
620	3577	2183
621	3582	2176
622	3586	2170
623	3593	2165
624	3598	2158
625	3603	2153
626	3610	2147
627	3615	2141
628	3620	2135
629	3626	2129
630	3631	2123
631	3636	2117
632	3642	2111
633	3647	2105
634	3651	2099
635	3657	2093
636	3663	2087
637	3668	2081
638	3674	2076
639	3679	2069
640	3684	2063
641	3689	2057
642	3694	2051
643	3699	2045
644	3704	2038
645	3709	2032
646	3714	2026
647	3718	2020
648	3727	2015
649	3732	2009
650	3739	2004
651	3744	1998
652	3748	1992
653	3755	1986
654	3759	1980
655	3764	1974
656	3769	1967
657	3775	1962
658	3780	1955
659	3784	1949
660	3790	1944
661	3796	1938
662	3802	1932
663	3808	1927
664	3814	1921
665	3821	1916
666	3827	1910
667	3832	1904
668	3838	1899
669	3843	1892
670	3848	1886
671	3853	1881
672	3858	1874
673	3865	1869
674	3872	1864
675	3878	1858
676	3882	1852
677	3888	1846
678	3893	1840
679	3898	1834
680	3903	1828
681	3908	1822
682	3913	1816
683	3920	1811
684	3925	1805
685	3930	1799
686	3937	1793
687	3942	1787
688	3947	1781
689	3953	1776
690	3958	1769
691	3962	1763
692	3969	1758
693	3974	1752
694	3979	1746
695	3985	1740
696	3990	1734
697	3996	1728
698	4002	1723
699	4008	1717
700	4013	1711
701	4019	1706
702	4024	1700
703	4029	1694
704	4035	1688
705	4039	1682
706	4044	1676
707	4050	1670
708	4055	1664
709	4059	1658
710	4066	1652
711	4071	1646
712	4077	1641
713	4083	1635
714	4088	1629
715	4093	1623
716	4100	1618
717	4105	1612
718	4110	1606
719	4116	1600
720	4121	1594
721	4126	1588
722	4133	1583
723	4139	1577
724	4144	1572
725	4150	1566
726	4155	1560
727	4159	1554
728	4165	1548
729	4170	1542
730	4175	1536
731	4180	1530
732	4185	1524
733	4190	1518
734	4195	1512
735	4201	1506
736	4206	1501
737	4213	1495
738	4219	1490
739	4223	1484
740	4230	1478
741	4234	1472
742	4240	1466
743	4247	1461
744	4252	1455
745	4256	1449
746	4262	1443
747	4268	1437
748	4273	1432
749	4279	1426
750	4284	1420
751	4289	1414
752	4294	1408
753	4299	1402
754	4304	1396
755	4308	1390
756	4316	1385
757	4320	1379
758	4325	1373
759	4332	1368
760	4337	1362
761	4344	1356
762	4349	1350
763	4353	1344
764	4358	1338
765	4364	1333
766	4369	1327
767	4374	1321
768	4380	1315
769	4385	1310
770	4390	1304
771	4396	1298
772	4401	1292
773	4407	1286
774	4415	1281
775	4419	1275
776	4424	1269
777	4430	1264
778	4435	1258
779	4440	1252
780	4445	1246
781	4450	1240
782	4455	1234
783	4460	1229
784	4466	1223
785	4472	1217
786	4478	1212
787	4483	1206
788	4488	1200
789	4494	1194
790	4502	1189
791	4512	1185
792	4521	1180
793	4529	1175
794	4537	1169
795	4543	1164
796	4548	1158
797	4553	1152
798	4558	1146
799	4563	1140
800	4568	1134
801	4574	1129
802	4579	1123
803	4584	1117
804	4590	1111
805	4594	1105
806	4599	1100
807	4607	1094
808	4615	1089
809	4620	1083
810	4625	1078
811	4630	1072
812	4635	1066
813	4641	1060
814	4646	1054
815	4651	1048
816	4657	1043
817	4661	1037
818	4667	1031
819	4674	1026
820	4679	1020
821	4684	1014
822	4690	1008
823	4694	1002
824	4699	996
825	4705	991
826	4711	985
827	4716	979
828	4722	974
829	4726	968
830	4732	962
831	4739	957
832	4745	951
833	4749	945
834	4755	939
835	4760	933
836	4764	927
837	4770	922
838	4775	916
839	4780	910
840	4784	904
841	4789	898
842	4794	892
843	4801	887
844	4808	882
845	4813	876
846	4819	870
847	4824	864
848	4829	858
849	4835	853
850	4840	847
851	4844	841
852	4849	835
853	4854	829
854	4859	824
855	4863	818
856	4870	812
857	4875	806
858	4879	801
859	4885	795
860	4889	789
861	4894	783
862	4900	777
863	4905	772
864	4910	766
865	4915	760
866	4920	754
867	4924	748
868	4929	743
869	4935	737
870	4940	731
871	4945	725
872	4951	720
873	4956	714
874	4960	708
875	4965	702
876	4970	697
877	4974	691
878	4979	685
879	4985	679
880	4990	674
881	4995	668
882	5002	662
883	5006	657
884	5012	651
885	5018	645
886	5023	639
887	5028	634
888	5033	628
889	5038	622
890	5042	616
891	5048	611
892	5052	605
893	5057	599
894	5063	594
895	5068	588
896	5073	582
897	5079	576
898	5084	571
899	5088	565
900	5093	559
901	5098	553
902	5103	548
903	5107	542
904	5113	536
905	5119	531
906	5123	525
907	5129	519
908	5134	514
909	5139	508
910	5146	502
911	5150	496
912	5154	491
913	5159	485
