iter	Logloss
0	0.6698991472
1	0.6394613298
2	0.6208988143
3	0.6035616005
4	0.5782403942
5	0.5667778714
6	0.5517067774
7	0.538944487
8	0.5257381644
9	0.5183902432
10	0.5124123438
11	0.5024626055
12	0.4936184954
13	0.4842548486
14	0.4763985885
15	0.4714947763
16	0.4629649674
17	0.4588044986
18	0.4476598557
19	0.4437541495
20	0.4350860374
21	0.4316942407
22	0.4283566077
23	0.4257144175
24	0.420493915
25	0.4181558382
26	0.4153994947
27	0.4132772282
28	0.4110961557
29	0.4087918307
30	0.4051893441
31	0.4020915933
32	0.3979087309
33	0.3959295785
34	0.3941001499
35	0.3925299598
36	0.3897981319
37	0.3884337431
38	0.382489839
39	0.3813859347
40	0.376133209
41	0.3739083272
42	0.3728211432
43	0.3716453478
44	0.3666577209
45	0.3657358361
46	0.3629436308
47	0.3619698742
48	0.3572408048
49	0.3551616703
50	0.3542845741
51	0.3517739895
52	0.3508646932
53	0.349919976
54	0.3488957347
55	0.3470589174
56	0.3462769817
57	0.3453590879
58	0.3447118047
59	0.3407599756
60	0.3386026567
61	0.3377987498
62	0.3373364079
63	0.3366720632
64	0.3360959106
65	0.3354352623
66	0.3333642389
67	0.3325760363
68	0.3308731881
69	0.3295105787
70	0.3281193437
71	0.3276183855
72	0.3270616358
73	0.3257938007
74	0.3251288068
75	0.3222093866
76	0.3207426402
77	0.3199397093
78	0.3195719396
79	0.3180176514
80	0.316771868
81	0.3162927751
82	0.3154073892
83	0.3148605289
84	0.314521091
85	0.3120936356
86	0.3105261038
87	0.3098847133
88	0.3095152202
89	0.3088587823
90	0.3085581504
91	0.308093775
92	0.3078825173
93	0.3075642297
94	0.3063418271
95	0.3059883828
96	0.3055876692
97	0.30439798
98	0.304147121
99	0.3038188726
100	0.3027938913
101	0.3013924825
102	0.3009512601
103	0.2993954896
104	0.2991025535
105	0.29877608
106	0.2983567059
107	0.2978331241
108	0.2975255264
109	0.2972318071
110	0.2968047013
111	0.2963663061
112	0.2957877455
113	0.2951873117
114	0.2946551951
115	0.2943548019
116	0.2940278825
117	0.29374201
118	0.2934615754
119	0.29320919
120	0.292919036
121	0.2924083648
122	0.291918757
123	0.2916321503
124	0.2912722503
125	0.2909177014
126	0.2902189978
127	0.2897554511
128	0.2892786907
129	0.2890105141
130	0.2887310093
131	0.2881651093
132	0.2879365101
133	0.28766828
134	0.2862650577
135	0.2857563388
136	0.2853730497
137	0.284692356
138	0.2843999836
139	0.2840707807
140	0.2837868438
141	0.2835711483
142	0.2827058917
143	0.2825995009
144	0.2822775242
145	0.2819962133
146	0.2810978436
147	0.2808482678
148	0.2805196535
149	0.2803356808
150	0.2799975542
